Income,Debt,Payment_History,Late_Payments,Credit_Utilization,Credit_Inquiries,Credit_History_Years,Creditworthy
65301,47911,50,5,0.66,4,9,0
57099,15916,81,0,0.23,0,12,1
147427,5566,90,1,0.12,1,24,1
130158,2001,79,1,0.31,1,24,1
55153,11481,76,1,0.23,1,18,1
67127,17846,70,1,0.37,0,13,1
59130,9633,92,1,0.38,2,6,1
21018,32563,9,8,0.77,6,6,0
117215,4506,74,1,0.1,1,9,1
70800,11629,87,1,0.3,0,19,1
143848,17958,99,0,0.35,1,21,1
65187,5607,87,0,0.26,2,21,1
110924,4007,79,0,0.36,1,10,1
135774,8263,76,0,0.34,2,11,1
81656,3159,82,0,0.27,1,14,1
136475,13588,92,0,0.17,1,7,1
95939,19725,98,0,0.38,1,24,1
132152,7371,84,1,0.28,0,16,1
37535,20492,55,8,0.58,5,2,0
33919,30256,41,6,0.77,6,7,0
100357,13031,75,1,0.35,2,14,1
21421,47015,42,6,0.88,4,5,0
53902,38645,25,5,0.67,7,9,0
108502,6470,81,1,0.2,1,14,1
66152,32443,58,5,0.52,9,0,0
85547,18308,82,1,0.12,1,22,1
84550,7213,83,1,0.24,1,11,1
132987,17410,95,0,0.11,0,9,1
144283,16972,99,0,0.16,1,11,1
50854,6855,70,0,0.17,1,16,1
75398,4074,83,1,0.3,0,10,1
60345,2128,92,1,0.38,1,20,1
64270,16523,71,0,0.33,1,8,1
96216,7297,73,0,0.11,2,24,1
85362,19820,83,1,0.31,2,24,1
92070,8429,91,0,0.1,0,16,1
58524,19414,22,3,0.61,5,9,0
138887,17006,91,0,0.32,2,10,1
76183,2502,99,1,0.21,1,10,1
145317,17019,70,1,0.33,1,5,1
55122,19030,92,1,0.32,0,22,1
31217,48741,46,5,0.5,4,2,0
76589,18773,84,0,0.32,2,17,1
83276,19045,94,0,0.11,0,13,1
37273,32129,55,6,0.68,7,9,0
87419,1609,74,0,0.37,2,12,1
72031,6185,77,0,0.25,1,20,1
133111,13581,82,1,0.26,1,20,1
54611,6878,71,0,0.36,2,24,1
24857,27118,33,5,0.69,5,1,0
23148,48536,22,5,0.58,7,2,0
89110,18343,81,0,0.37,1,7,1
48439,30524,37,8,0.8,5,0,0
85400,5494,86,0,0.3,2,9,1
55033,8788,79,0,0.19,2,20,1
42829,35221,14,4,0.83,7,8,0
69558,5782,95,0,0.33,2,12,1
61300,46921,10,9,0.81,8,8,0
115614,4123,71,0,0.38,2,6,1
66905,14070,86,1,0.28,0,12,1
50652,45344,12,5,0.59,6,1,0
102656,18375,73,1,0.14,2,7,1
33828,19541,4,6,0.81,8,3,0
138578,19645,91,1,0.14,0,16,1
67895,24638,27,8,0.91,6,5,0
24131,25652,13,6,0.87,5,3,0
88799,5243,85,0,0.32,2,18,1
26618,21780,42,5,0.82,6,4,0
115215,14051,71,1,0.28,1,19,1
63183,19482,22,7,0.84,7,4,0
48812,39714,10,8,0.87,9,5,0
112539,1541,95,1,0.16,2,20,1
50560,2312,99,0,0.38,1,18,1
69423,5137,78,0,0.12,1,14,1
104710,11350,70,0,0.14,1,14,1
122982,5443,88,1,0.11,0,24,1
42076,33738,9,8,0.75,8,9,0
120122,9430,85,1,0.28,0,8,1
94638,5082,92,1,0.2,1,15,1
40425,28463,37,5,0.69,9,8,0
90158,12922,95,1,0.36,0,17,1
86483,15877,99,1,0.24,1,8,1
46855,29260,51,5,0.75,4,2,0
57123,34689,2,5,0.83,6,5,0
41518,32059,12,5,0.84,8,8,0
52839,24385,12,3,0.62,6,3,0
62816,45431,29,7,0.94,5,8,0
120188,10370,83,1,0.38,2,14,1
89030,2058,75,0,0.38,0,5,1
30686,33891,19,7,0.78,7,5,0
33765,36942,56,6,0.58,4,7,0
53717,36809,27,5,0.64,9,6,0
62676,11816,99,0,0.13,1,22,1
110233,3989,78,0,0.26,1,10,1
64477,17016,54,6,0.91,8,6,0
43016,29732,34,5,0.51,9,7,0
54994,5234,90,1,0.22,1,23,1
108436,10475,97,1,0.24,0,23,1
20690,40103,23,4,0.66,6,1,0
33775,47813,11,3,0.89,8,1,0
127506,11937,72,1,0.16,0,23,1
51299,7701,72,0,0.32,1,8,1
88547,4830,92,1,0.29,1,19,1
98506,7772,80,1,0.28,1,22,1
76029,14025,98,1,0.23,0,13,1
115066,19203,87,0,0.1,0,23,1
141785,2361,75,0,0.35,2,17,1
106985,18301,76,1,0.39,1,18,1
134381,9475,70,0,0.22,2,21,1
105751,14379,84,0,0.3,2,5,1
103218,10673,75,1,0.11,0,11,1
29230,44256,51,6,0.7,7,9,0
77675,4407,81,1,0.19,1,5,1
66932,21764,16,7,0.75,8,1,0
122045,8693,84,1,0.34,1,17,1
113646,12154,86,0,0.12,1,17,1
110102,18958,86,0,0.36,0,18,1
122394,3121,94,0,0.21,0,10,1
142961,18159,96,1,0.29,2,21,1
58725,20255,3,7,0.72,7,6,0
58893,16924,23,6,0.85,4,4,0
96762,7520,84,1,0.19,0,23,1
80286,5777,96,1,0.4,2,5,1
122805,14527,92,0,0.28,0,23,1
57531,5283,94,0,0.38,0,8,1
29001,28248,35,3,0.7,7,8,0
121425,6054,98,0,0.29,2,15,1
93894,7869,92,1,0.34,1,16,1
136394,4071,81,1,0.12,0,12,1
144870,15571,80,1,0.26,2,17,1
55024,38996,10,6,0.71,5,0,0
23952,37796,2,4,0.62,9,5,0
70566,3230,85,0,0.23,1,7,1
130098,18932,94,0,0.13,1,16,1
126216,11068,98,0,0.19,0,6,1
92719,17269,77,1,0.12,0,24,1
23199,22897,29,3,0.8,8,0,0
66365,17786,57,8,0.62,9,2,0
45544,29298,3,7,0.81,4,6,0
41019,16095,13,6,0.57,5,7,0
55622,19261,74,1,0.21,0,17,1
139022,19743,86,1,0.16,1,11,1
62687,36976,15,6,0.5,8,4,0
76140,2184,80,1,0.21,1,24,1
51017,48000,6,9,0.88,6,4,0
107134,3100,79,1,0.17,1,6,1
140101,3382,89,1,0.38,1,7,1
117313,18606,84,0,0.4,1,7,1
